title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable land.mon.tran_tavg-u-hxy-lnd (Lmon.tran),1305,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1305,mon land CMIP6 UKESM1 HadGEM3-GC31,tran_tavg-u-hxy-lnd,transpiration_flux,,area: areacella,area: mean where land time: mean,Transpiration (may include dew formation as a negative flux).,longitude latitude time,mon,Transpiration,land,up,,kg m-2 s-1,CMIP6 CMOR variable,m01s03i539[lbproc=128],,m01s03i539[lbproc=128],,kg m-2 s-1
Variable land.mon.shrubFrac_tavg-u-hxy-u (Lmon.shrubFrac),1304,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1304,mon land CMIP6 UKESM1 HadGEM3-GC31,shrubFrac_tavg-u-hxy-u,area_fraction,"""comment"" was ""Percentage of entire grid cell  that is covered by shrub.""; ; ""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,fraction of entire grid cell  that is covered by shrub.,longitude latitude time typeshrub,mon,Percentage Cover by Shrub,land,,"add scalar coordinate typeshrub and add ""shrub"" to the CF area type table.  Note that if this variable is independent of time, it should be stored only for a single time (user choice).; CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time typeshrub CMIP7:longitude latitude time  typeshrub,;  ; CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",%,CMIP6 CMOR variable,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='shrub')",,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='shrub')",,%
Variable land.mon.rh_tavg-u-hxy-lnd (Lmon.rh),1303,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1303,mon land CMIP6 UKESM1,rh_tavg-u-hxy-lnd,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,,area: areacella,area: mean where land time: mean,Carbon mass flux per unit area into atmosphere due to heterotrophic respiration on land (respiration by consumers),longitude latitude time,mon,Total Heterotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],land,up,,kg m-2 s-1,CMIP6 CMOR variable,,,"m01s19i053[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR)",,kg m-2 s-1
Variable land.mon.residualFrac_tavg-u-hxy-u (Lmon.residualFrac),1302,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1302,mon land CMIP6 UKESM1 HadGEM3-GC31,residualFrac_tavg-u-hxy-u,area_fraction,"""comment"" was ""Percentage of entire grid cell  that is land and is covered by  neither vegetation nor bare-soil (e.g., urban, ice, lakes, etc.)""; ; ""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,"fraction of entire grid cell  that is land and is covered by ""non-vegetation"" and ""non-bare-soil"" (e.g., urban, ice, lakes, etc.)",longitude latitude time typeresidual,mon,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil,land,,"add scalar coordinate type???and add ""???"" to the CF area type table.; ; CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time typeresidual CMIP7:longitude latitude time  typeresidual,;  ; CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",%,CMIP6 CMOR variable,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='residual')",,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='residual')",,%
Variable land.mon.ra_tavg-u-hxy-lnd (Lmon.ra),1301,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1301,mon land CMIP6 UKESM1,ra_tavg-u-hxy-lnd,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,,area: areacella,area: mean where land time: mean,Carbon mass flux per unit area into atmosphere due to autotrophic respiration on land (respiration by producers) [see rh for heterotrophic production],longitude latitude time,mon,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],land,up,,kg m-2 s-1,CMIP6 CMOR variable,,,"m01s19i185[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR)",,kg m-2 s-1
Variable land.mon.prveg_tavg-u-hxy-lnd (Lmon.prveg),1300,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1300,mon land CMIP6,prveg_tavg-u-hxy-lnd,precipitation_flux_onto_canopy,"""comment"" was ""The precipitation flux that is intercepted by the vegetation canopy (if present in model) before reaching the ground."";",area: areacella,area: mean where land time: mean,the precipitation flux that is intercepted by the vegetation canopy (if present in model) before reaching the ground.,longitude latitude time,mon,Precipitation onto Canopy,land,,,kg m-2 s-1,CMIP6 CMOR variable,,,,,
Variable land.mon.pastureFrac_tavg-u-hxy-u (Lmon.pastureFrac),1299,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1299,mon land CMIP6 UKESM1,pastureFrac_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean""; ; ""comment"" was ""Percentage of entire grid cell  that is covered by anthropogenic pasture."";",area: areacella,area: time: mean,fraction of entire grid cell  that is covered by anthropogenic pasture.,longitude latitude time typepasture,mon,Percentage of Land Which Is Anthropogenic Pasture,land,,"add scalar coordinate typepasture and add ""pasture"" to the CF area type table. Note that if this variable is independent of time, it should be stored only for a single time (user choice).; CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time typepasture CMIP7:longitude latitude time  typepasture,;  ; CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",%,CMIP6 CMOR variable,,,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128],m01s03i395[lbproc=128], land_class='pasture')",,%
Variable land.mon.nppRoot_tavg-u-hxy-lnd (Lmon.nppRoot),1298,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1298,mon land CMIP6,nppRoot_tavg-u-hxy-lnd,net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_roots,,area: areacella,area: mean where land time: mean,This is the rate of carbon uptake by roots due to NPP,longitude latitude time,mon,Net Primary Production Allocated to Roots as Carbon Mass Flux [kgC m-2 s-1],land,down,,kg m-2 s-1,CMIP6 CMOR variable,,,,,
Variable land.mon.nppLeaf_tavg-u-hxy-lnd (Lmon.nppLeaf),1297,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1297,mon land CMIP6,nppLeaf_tavg-u-hxy-lnd,net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_leaves,,area: areacella,area: mean where land time: mean,This is the rate of carbon uptake by leaves due to NPP,longitude latitude time,mon,Net Primary Production Allocated to Leaves as Carbon Mass Flux [kgC m-2 s-1],land,down,,kg m-2 s-1,CMIP6 CMOR variable,,,,,
Variable land.mon.npp_tavg-u-hxy-lnd (Lmon.npp),1296,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1296,mon land CMIP6 UKESM1,npp_tavg-u-hxy-lnd,net_primary_productivity_of_biomass_expressed_as_carbon,"""comment"" was ""'Production of carbon' means the production of biomass expressed as the mass of carbon which it contains. Net primary production is the excess of gross primary production (rate of synthesis of biomass from inorganic precursors) by autotrophs ('producers'), for example, photosynthesis in plants or phytoplankton, over the rate at which the autotrophs themselves respire some of this biomass. 'Productivity' means production per unit area. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."";",area: areacella,area: mean where land time: mean,"""Production of carbon"" means the production of biomass expressed as the mass of carbon which it contains. Net primary production is the excess of gross primary production (rate of synthesis of biomass from inorganic precursors) by autotrophs (""producers""), for example, photosynthesis in plants or phytoplankton, over the rate at which the autotrophs themselves respire some of this biomass. ""Productivity"" means production per unit area. The phrase ""expressed_as"" is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A.",longitude latitude time,mon,Net Primary Production on Land as Carbon Mass Flux [kgC m-2 s-1],land,down,needed for any model that does not compute GPP,kg m-2 s-1,CMIP6 CMOR variable,,,"m01s19i102[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR)",,kg m-2 s-1
Variable land.mon.nbp_tavg-u-hxy-lnd (Lmon.nbp),1295,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1295,mon land CMIP6 UKESM1,nbp_tavg-u-hxy-lnd,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,"""comment"" was ""This is the net mass flux of carbon from atmosphere into land, calculated as photosynthesis MINUS the sum of  plant and soil respiration, carbon fluxes from fire, harvest, grazing  and land use change. Positive flux is into the land."";",area: areacella,area: mean where land time: mean,"This is the net mass flux of carbon between land and atmosphere calculated as photosynthesis MINUS the sum of  plant and soil respiration, carbonfluxes  from fire, harvest, grazing  and land use change. Positive flux  is into the land.",longitude latitude time,mon,Carbon Mass Flux out of Atmosphere Due to Net Biospheric Production on Land [kgC m-2 s-1],land,down,,kg m-2 s-1,CMIP6 CMOR variable,,,"(m01s19i102[lbtim_ia=240,lbproc=128] - m01s19i053[lbtim_ia=240,lbproc=128] - m01s19i042[lbtim_ia=240,lbproc=128] - m01s19i044[lbtim_ia=240,lbproc=128]) / (SECONDS_IN_DAY * DAYS_IN_YEAR)",,kg m-2 s-1
Variable land.mon.mrsol_tavg-z10cm-hxy-lnd (Lmon.mrsos),1294,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1294,mon land CMIP6 UKESM1 HadGEM3-GC31 BCV,mrsol_tavg-z10cm-hxy-lnd,mass_content_of_water_in_soil_layer,"""comment"" was ""The mass of water in all phases in the upper 10cm of the  soil layer."";",area: areacella,area: mean where land time: mean,the mass of water in all phases in a thin surface soil layer.,longitude latitude time sdepth1,mon,Moisture in Upper Portion of Soil Column,land,,"integrate over uppermost 10 cm; ; CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time sdepth1 CMIP7:longitude latitude time  sdepth1,;  Changes since reverted/fixed. Variable now matches CMIP6 definition.",kg m-2,CMIP6 CMOR variable,"m01s08i223[blev=0.05, lbproc=128]",,"m01s08i223[blev=0.05, lbproc=128]",,kg m-2
Variable land.mon.mrso_tavg-u-hxy-lnd (Lmon.mrso),1293,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1293,mon land CMIP6 UKESM1 HadGEM3-GC31 BCV,mrso_tavg-u-hxy-lnd,mass_content_of_water_in_soil,,area: areacella,area: mean where land time: mean,the mass per unit area  (summed over all soil layers) of water in all phases.,longitude latitude time,mon,Total Soil Moisture Content,land,,,kg m-2,CMIP6 CMOR variable,level_sum(m01s08i223[lbproc=128]),,level_sum(m01s08i223[lbproc=128]),,kg m-2
Variable land.mon.mrros_tavg-u-hxy-lnd (Lmon.mrros),1292,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1292,mon land CMIP6 UKESM1 HadGEM3-GC31 BCV,mrros_tavg-u-hxy-lnd,surface_runoff_flux,"""comment"" was ""The total surface run off leaving the land portion of the grid cell (excluding drainage through the base of the soil model)."";",area: areacella,area: mean where land time: mean,the total surface runoff leaving the land portion of the grid cell.,longitude latitude time,mon,Surface Runoff,land,,,kg m-2 s-1,CMIP6 CMOR variable,m01s08i234[lbproc=128],,m01s08i234[lbproc=128],,kg m-2 s-1
Variable land.mon.mrro_tavg-u-hxy-lnd (Lmon.mrro),1291,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1291,mon land CMIP6 UKESM1 HadGEM3-GC31 BCV,mrro_tavg-u-hxy-lnd,runoff_flux,"""comment"" was ""The total run-off (including drainage through the base of the soil model) per unit area leaving the land portion of the grid cell."";",area: areacella,area: mean where land time: mean,"the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell.",longitude latitude time,mon,Total Runoff,land,,,kg m-2 s-1,CMIP6 CMOR variable,m01s08i234[lbproc=128] + m01s08i235[lbproc=128],,m01s08i234[lbproc=128] + m01s08i235[lbproc=128],,kg m-2 s-1
Variable land.mon.landCoverFrac_tavg-u-hxy-u (Lmon.landCoverFrac),1289,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1289,mon land CMIP6,landCoverFrac_tavg-u-hxy-u,area_fraction,"""comment"" was ""Percentage of grid cell area occupied by different model vegetation/land cover categories. The categories may differ from model to model, depending on each model's subgrid land cover category definitions. Categories may include natural vegetation, anthropogenic vegetation, bare soil, lakes, urban areas, glaciers, etc. Sum of all should equal the percentage of the grid cell that is land.""; ; ""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,"The categories may differ from model to model, depending on their  PFT definitions.   This may include natural PFTs, anthropogenic PFTs, bare soil, lakes, urban areas, etc.   Sum of all should equal the fraction of the grid-cell that is land.",longitude latitude vegtype time,mon,Percentage of Area by Vegetation or Land-Cover Category,land,,"need to explain how to define vegtype.  To facilitate model comparison, it is also requested that the aggregated land cover types called for in lines 28 to 35 be archived (but not in this variable).  Note that if this variable is independent of time, it should be stored only for a single time (user choice).   Note that the ""types"" will be model dependent and for each type there should be a full description of the PFT (plant functional type).; CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude vegtype time CMIP7:longitude latitude time vegtype,;  ; CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",%,CMIP6 CMOR variable,,,,,
Variable land.mon.lai_tavg-u-hxy-lnd (Lmon.lai),1288,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1288,mon land CMIP6 UKESM1 HadGEM3-GC31 BCV,lai_tavg-u-hxy-lnd,leaf_area_index,,area: areacella,area: mean where land time: mean,A ratio obtained by dividing the total upper leaf surface area of vegetation by the (horizontal) surface area of the land on which it grows.,longitude latitude time,mon,Leaf Area Index,land,,"Note that if this variable is independent of time, it should be stored only for a single time (user choice).",1,CMIP6 CMOR variable,"land_class_mean(m01s19i014[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='veg')",,"land_class_mean(m01s19i014[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='veg')",,1
Variable land.mon.grassFrac_tavg-u-hxy-u (Lmon.grassFrac),1287,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1287,mon land CMIP6 UKESM1 HadGEM3-GC31,grassFrac_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,Percentage of entire grid cell that is covered by natural grass.,longitude latitude time typenatgr,mon,Natural Grass Area Percentage,land,,"add scalar coordinate typegrass and add ""natural_grass"" to the CF area type table.  Note that if this variable is independent of time, it should be stored only for a single time (user choice).; CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time typenatgr CMIP7:longitude latitude time  typenatgr,;  ; CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",%,CMIP6 CMOR variable,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128],m01s03i395[lbproc=128], land_class='grass')",,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128],m01s03i395[lbproc=128], land_class='grass')",,%
Variable land.mon.gpp_tavg-u-hxy-lnd (Lmon.gpp),1286,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1286,mon land CMIP6 UKESM1,gpp_tavg-u-hxy-lnd,gross_primary_productivity_of_biomass_expressed_as_carbon,"""comment"" was ""The rate of synthesis of biomass from inorganic precursors by autotrophs ('producers') expressed as the mass of carbon which it contains. For example, photosynthesis in plants or phytoplankton. The producers also respire some of this biomass and the difference is referred to as the net primary production. "";",area: areacella,area: mean where land time: mean,"The rate of synthesis of biomass from inorganic precursors by autotrophs (""producers"") expressed as the mass of carbon which it contains. For example, photosynthesis in plants or phytoplankton. The producers also respire some of this biomass and the difference is referred to as the net primary production.",longitude latitude time,mon,Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],land,,,kg m-2 s-1,CMIP6 CMOR variable,,,"m01s19i183[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR)",,kg m-2 s-1
Variable land.mon.fVegSoil_tavg-u-hxy-lnd (Lmon.fVegSoil),1285,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1285,mon land CMIP6 UKESM1,fVegSoil_tavg-u-hxy-lnd,carbon_mass_flux_into_soil_from_vegetation_excluding_litter,"""comment"" was ""Carbon mass flux per unit area from vegetation directly into soil, without intermediate conversion to litter."";",area: areacella,area: mean where land time: mean,"In some models part of carbon (e.g., root exudate) can go directly into the soil pool without entering litter.",longitude latitude time,mon,Total Carbon Mass Flux from Vegetation Directly to Soil,land,,,kg m-2 s-1,CMIP6 CMOR variable,,,"m01s19i005[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR)",,kg m-2 s-1
